input_1,input_2,input_3,input_4,input_5,input_6
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
16.0,0.095,0.054,5.0,-0.2599,0.095
