output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,output_11,output_12,output_13,output_14,output_15
0.224395,-0.144068,-0.003,0.224285,0.143932,-0.003,-0.155603,-0.144213,-0.003,-0.155713,0.143787,-0.003,0.0,0.0,0.0
0.22436,-0.14407,-0.003,0.22425,0.14393,-0.003,-0.155638,-0.144216,-0.003,-0.155749,0.143784,-0.003,0.0,0.0,0.0
0.224407,-0.144085,-0.003,0.224297,0.143915,-0.003,-0.155591,-0.144231,-0.003,-0.155701,0.143769,-0.003,0.0,0.0,0.0
0.224473,-0.144084,-0.003,0.224365,0.143916,-0.003,-0.155525,-0.144227,-0.003,-0.155633,0.143773,-0.003,0.0,0.0,0.0
0.224539,-0.144082,-0.003,0.224432,0.143918,-0.003,-0.15546,-0.144223,-0.003,-0.155566,0.143777,-0.003,0.0,0.0,0.0
0.224604,-0.144101,-0.003,0.224498,0.143899,-0.003,-0.155394,-0.14424,-0.003,-0.1555,0.14376,-0.003,0.0,0.0,0.0
0.224611,-0.144086,-0.003,0.224502,0.143914,-0.003,-0.155387,-0.14423,-0.003,-0.155496,0.14377,-0.003,0.0,0.0,0.0
0.224626,-0.144086,-0.003,0.224513,0.143914,-0.003,-0.155372,-0.144234,-0.003,-0.155485,0.143766,-0.003,0.0,0.0,0.0
0.224628,-0.144082,-0.003,0.22451,0.143918,-0.003,-0.15537,-0.144238,-0.003,-0.155489,0.143762,-0.003,0.0,0.0,0.0
0.22462,-0.144078,-0.003,0.224495,0.143922,-0.003,-0.155378,-0.144242,-0.003,-0.155503,0.143758,-0.003,0.0,0.0,0.0
0.224602,-0.144073,-0.003,0.22447,0.143927,-0.003,-0.155396,-0.144247,-0.003,-0.155528,0.143753,-0.003,0.0,0.0,0.0
0.224574,-0.144067,-0.003,0.224433,0.143933,-0.003,-0.155424,-0.144253,-0.003,-0.155565,0.143747,-0.003,0.0,0.0,0.0
0.224536,-0.14406,-0.003,0.224385,0.14394,-0.003,-0.155462,-0.144259,-0.003,-0.155613,0.143741,-0.003,0.0,0.0,0.0
0.224462,-0.14406,-0.003,0.224301,0.14394,-0.003,-0.155536,-0.144274,-0.003,-0.155698,0.143726,-0.003,0.0,0.0,0.0
0.224357,-0.144071,-0.003,0.224185,0.143929,-0.003,-0.155642,-0.144297,-0.003,-0.155814,0.143703,-0.003,0.0,0.0,0.0
0.224246,-0.144082,-0.003,0.224065,0.143918,-0.003,-0.155752,-0.144321,-0.003,-0.155934,0.143679,-0.003,0.0,0.0,0.0
0.224131,-0.144095,-0.003,0.223941,0.143905,-0.003,-0.155868,-0.144346,-0.003,-0.156058,0.143654,-0.003,0.0,0.0,0.0
0.224012,-0.144109,-0.003,0.223814,0.143891,-0.003,-0.155987,-0.14437,-0.003,-0.156185,0.14363,-0.003,0.0,0.0,0.0
0.223889,-0.144124,-0.003,0.223683,0.143876,-0.003,-0.15611,-0.144395,-0.003,-0.156316,0.143605,-0.003,0.0,0.0,0.0
0.223791,-0.144171,-0.003,0.223579,0.143829,-0.003,-0.156208,-0.14445,-0.003,-0.15642,0.14355,-0.003,0.0,0.0,0.0
0.223628,-0.144158,-0.003,0.223409,0.143842,-0.003,-0.156371,-0.144446,-0.003,-0.15659,0.143554,-0.003,0.0,0.0,0.0
0.223484,-0.14418,-0.003,0.223258,0.143819,-0.003,-0.156515,-0.144478,-0.003,-0.156741,0.143522,-0.003,0.0,0.0,0.0
0.223363,-0.14417,-0.003,0.223134,0.14383,-0.003,-0.156637,-0.144472,-0.003,-0.156866,0.143528,-0.003,0.0,0.0,0.0
0.223195,-0.144214,-0.003,0.222959,0.143785,-0.003,-0.156805,-0.144526,-0.003,-0.157041,0.143474,-0.003,0.0,0.0,0.0
0.223035,-0.144223,-0.003,0.222791,0.143777,-0.003,-0.156965,-0.144544,-0.003,-0.157209,0.143456,-0.003,0.0,0.0,0.0
0.222892,-0.144244,-0.003,0.222641,0.143755,-0.003,-0.157108,-0.144575,-0.003,-0.157359,0.143424,-0.003,0.0,0.0,0.0
0.222767,-0.14426,-0.003,0.22251,0.14374,-0.003,-0.157233,-0.1446,-0.003,-0.15749,0.1434,-0.003,0.0,0.0,0.0
0.222661,-0.144283,-0.003,0.222397,0.143717,-0.003,-0.157339,-0.144631,-0.003,-0.157603,0.143369,-0.003,0.0,0.0,0.0
0.222552,-0.1443,-0.003,0.222282,0.1437,-0.003,-0.157448,-0.144656,-0.003,-0.157718,0.143344,-0.003,0.0,0.0,0.0
0.222483,-0.144318,-0.003,0.222208,0.143682,-0.003,-0.157517,-0.14468,-0.003,-0.157791,0.14332,-0.003,0.0,0.0,0.0
0.222412,-0.144337,-0.003,0.222133,0.143662,-0.003,-0.157588,-0.144705,-0.003,-0.157867,0.143295,-0.003,0.0,0.0,0.0
0.222337,-0.144358,-0.003,0.222056,0.143641,-0.003,-0.157663,-0.14473,-0.003,-0.157944,0.14327,-0.003,0.0,0.0,0.0
0.22226,-0.144381,-0.003,0.221976,0.143619,-0.003,-0.15774,-0.144755,-0.003,-0.158023,0.143244,-0.003,0.0,0.0,0.0
0.22218,-0.144405,-0.003,0.221896,0.143595,-0.003,-0.157819,-0.144781,-0.003,-0.158104,0.143219,-0.003,0.0,0.0,0.0
0.222098,-0.144423,-0.003,0.221813,0.143577,-0.003,-0.157901,-0.1448,-0.003,-0.158186,0.1432,-0.003,0.0,0.0,0.0
0.222015,-0.144454,-0.003,0.22173,0.143545,-0.003,-0.157985,-0.144831,-0.003,-0.15827,0.143169,-0.003,0.0,0.0,0.0
0.221973,-0.144475,-0.003,0.221689,0.143525,-0.003,-0.158026,-0.144851,-0.003,-0.158311,0.143149,-0.003,0.0,0.0,0.0
0.221931,-0.144507,-0.003,0.221647,0.143492,-0.003,-0.158069,-0.144882,-0.003,-0.158352,0.143118,-0.003,0.0,0.0,0.0
0.221886,-0.144527,-0.003,0.221603,0.143473,-0.003,-0.158114,-0.1449,-0.003,-0.158396,0.1431,-0.003,0.0,0.0,0.0
0.221847,-0.144549,-0.003,0.221566,0.143451,-0.003,-0.158153,-0.144919,-0.003,-0.158433,0.14308,-0.003,0.0,0.0,0.0
0.221814,-0.144573,-0.003,0.221535,0.143427,-0.003,-0.158185,-0.144941,-0.003,-0.158464,0.143059,-0.003,0.0,0.0,0.0
0.221779,-0.144597,-0.003,0.221502,0.143402,-0.003,-0.15822,-0.144964,-0.003,-0.158497,0.143036,-0.003,0.0,0.0,0.0
0.221744,-0.14463,-0.003,0.221468,0.14337,-0.003,-0.158255,-0.144995,-0.003,-0.158531,0.143005,-0.003,0.0,0.0,0.0
0.221709,-0.144659,-0.003,0.221434,0.143341,-0.003,-0.15829,-0.145023,-0.003,-0.158565,0.142977,-0.003,0.0,0.0,0.0
0.221672,-0.144701,-0.003,0.221398,0.143299,-0.003,-0.158327,-0.145063,-0.003,-0.158601,0.142937,-0.003,0.0,0.0,0.0
0.221634,-0.144732,-0.003,0.221362,0.143268,-0.003,-0.158365,-0.145092,-0.003,-0.158637,0.142908,-0.003,0.0,0.0,0.0
0.221595,-0.144769,-0.003,0.221324,0.14323,-0.003,-0.158404,-0.145128,-0.003,-0.158675,0.142872,-0.003,0.0,0.0,0.0
0.221555,-0.144807,-0.003,0.221285,0.143192,-0.003,-0.158444,-0.145165,-0.003,-0.158714,0.142835,-0.003,0.0,0.0,0.0
0.221514,-0.144853,-0.003,0.221245,0.143146,-0.003,-0.158485,-0.145209,-0.003,-0.158754,0.142791,-0.003,0.0,0.0,0.0
0.22147,-0.144886,-0.003,0.221203,0.143113,-0.003,-0.158529,-0.14524,-0.003,-0.158796,0.14276,-0.003,0.0,0.0,0.0
0.221425,-0.144934,-0.003,0.22116,0.143066,-0.003,-0.158574,-0.145285,-0.003,-0.158839,0.142714,-0.003,0.0,0.0,0.0
