0,0 0 0,1 1 0,0 0 0,0 0 1
0.002,0 0 0,1 1 0,0 0 0,0 0 1
0.004,0 0 0,1 1 0,0 0 0,0 0 1
0.006,0 0 0,1 1 0,0 0 0,0 0 1
0.008,0 0 0,1 1 0,0 0 0,0 0 1
0.01,0 0 0,1 1 0,0 0 0,0 0 1
0.015,0 0 0,1 1 0,0 0 0,0 0 1
0.016,0 0 0,1 1 0,0 0 0,0 0 1
0.017,0 0 0,1 1 0,0 0 0,0 0 1
0.017,0 0 0,1 1 0,0 0 0,0 0 1
0.018,0 0 0,1 1 0,0 0 0,0 0 1
0.019,0 0 0,1 1 0,0 0 0,0 0 1
0.02,0 0 0,1 1 0,0 0 0,0 0 1
0.024, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.032, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.033, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.034, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.035, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.036, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.037, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.037, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.038, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.049, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.05, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.051, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.052, 1.23603  1.57038 -62.5794,-0  0  0,-0  0  0, 0.90053  1.05093 -67.3318
0.055,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.056,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.058,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.059,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.066,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.067,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.067,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.068,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.069,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.07,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.071,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.071,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.083,0.315956  1.41789 -55.7563,-0  0  0,-0  0  0,0.218151  1.26692 -59.8463
0.09,0.00499491    1.52784   -48.6964,0 0 0,0 0 0,0.169321  1.78043 -53.2335
0.092,0.00499491    1.52784   -48.6964,0 0 0,0 0 0,0.169321  1.78043 -53.2335
0.093,0.00499491    1.52784   -48.6964,0 0 0,0 0 0,0.169321  1.78043 -53.2335
0.095,0.00499491    1.52784   -48.6964,0 0 0,0 0 0,0.169321  1.78043 -53.2335
0.097,0.00499491    1.52784   -48.6964,0 0 0,0 0 0,0.169321  1.78043 -53.2335
0.098,0.00499491    1.52784   -48.6964,0 0 0,0 0 0,0.169321  1.78043 -53.2335
0.099,0.00499491    1.52784   -48.6964,0 0 0,0 0 0,0.169321  1.78043 -53.2335
0.1,0.00499491    1.52784   -48.6964,0 0 0,0 0 0,0.169321  1.78043 -53.2335
