0,0 0 0,1 1 0,0 0 0,0 0 1
0.001,0 0 0,1 1 0,0 0 0,0 0 1
0.006,0 0 0,1 1 0,0 0 0,0 0 1
0.007,0 0 0,1 1 0,0 0 0,0 0 1
0.008,0 0 0,1 1 0,0 0 0,0 0 1
0.009,0 0 0,1 1 0,0 0 0,0 0 1
0.009,0 0 0,1 1 0,0 0 0,0 0 1
0.016,0 0 0,1 1 0,0 0 0,0 0 1
0.017,0 0 0,1 1 0,0 0 0,0 0 1
0.019,0 0 0,1 1 0,0 0 0,0 0 1
0.021,0 0 0,1 1 0,0 0 0,0 0 1
0.023,0 0 0,1 1 0,0 0 0,0 0 1
0.024,0 0 0,1 1 0,0 0 0,0 0 1
0.029, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.03, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.032, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.033, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.035, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.035, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.036, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.037, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.038, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.038, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.049, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.05, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.052, 1.21761  1.53467 -62.5796,-0  0  0,-0  0  0,0.947829  1.12239 -67.4164
0.057,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.058,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.059,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.061,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.063,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.066,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.067,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.068,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.069,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.072,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.074,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.076,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.078,0.371881  1.54229 -55.6987,-0  0  0,-0  0  0,0.155786  1.19977 -59.8463
0.083,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.085,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.088,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.09,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.092,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.095,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.097,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.099,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.102,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.104,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.106,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.107,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.11,0.012316  1.54958 -48.6668,0 0 0,0 0 0,0.156463  1.77087 -53.2493
0.113,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.114,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.116,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.122,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.123,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.127,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.13,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.131,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.133,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.134,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.137,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.142,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.143,0.108167  1.74568 -44.2214,0 0 0,0 0 0,0.285445  2.00631 -49.3126
0.147,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.148,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.148,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.15,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.151,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.152,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.16,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.162,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.165,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.166,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.167,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.168,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.169,0.386238  1.58035 -41.1411,0 0 0,0 0 0,0.511565  1.74752 -46.3805
0.174, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.177, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.179, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.18, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.183, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
0.184, 0.29862 0.679473 -40.3206,0 0 0,0 0 0,0.456897 0.901535 -44.7243
