0,0 0 0,1 1 0,0 0 0,0 0 1
0.002,0 0 0,1 1 0,0 0 0,0 0 1
0.003,0 0 0,1 1 0,0 0 0,0 0 1
0.004,0 0 0,1 1 0,0 0 0,0 0 1
0.005,0 0 0,1 1 0,0 0 0,0 0 1
0.006,0 0 0,1 1 0,0 0 0,0 0 1
0.006,0 0 0,1 1 0,0 0 0,0 0 1
0.016,0 0 0,1 1 0,0 0 0,0 0 1
0.017,0 0 0,1 1 0,0 0 0,0 0 1
0.017,0 0 0,1 1 0,0 0 0,0 0 1
0.018,0 0 0,1 1 0,0 0 0,0 0 1
0.02,0 0 0,1 1 0,0 0 0,0 0 1
0.021,0 0 0,1 1 0,0 0 0,0 0 1
0.025,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.026,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.032,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.033,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.034,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.035,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.036,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.037,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.037,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.038,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.049,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.05,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.051,  1.6704  1.62952 -63.7757,-0  0  0,-0  0  0, 1.33584  1.11531 -68.5701
0.054,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.055,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.056,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.057,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.058,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.066,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.067,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.068,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.069,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.07,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.07,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.071,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.072,0.455012  1.44878 -56.8866,-0  0  0,-0  0  0,0.317795  1.24159 -60.9096
0.083,-0.13084  1.47518 -49.5681,0 0 0,0 0 0,0.0236836   1.71867  -53.7744
0.084,-0.13084  1.47518 -49.5681,0 0 0,0 0 0,0.0236836   1.71867  -53.7744
0.085,-0.13084  1.47518 -49.5681,0 0 0,0 0 0,0.0236836   1.71867  -53.7744
0.086,-0.13084  1.47518 -49.5681,0 0 0,0 0 0,0.0236836   1.71867  -53.7744
0.087,-0.13084  1.47518 -49.5681,0 0 0,0 0 0,0.0236836   1.71867  -53.7744
0.088,-0.13084  1.47518 -49.5681,0 0 0,0 0 0,0.0236836   1.71867  -53.7744
0.089,-0.13084  1.47518 -49.5681,0 0 0,0 0 0,0.0236836   1.71867  -53.7744
0.09,-0.13084  1.47518 -49.5681,0 0 0,0 0 0,0.0236836   1.71867  -53.7744
