horizonLength,bezierHeight,delta,steps,pitch_ascension,offset,Pf,des_vel
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.224395 -0.144068    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224285 0.143932   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.155603 -0.144213    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.155713  0.143787    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,0.224408 -0.14407   -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224297  0.14393   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, -0.15559 -0.144216    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.155701  0.143784    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,0.224549 -0.14408   -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224439  0.14392   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.155449 -0.144226    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.155559  0.143774    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.224707 -0.144085    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224599 0.143915   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.155291 -0.144228    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.155399  0.143772    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.224862 -0.144082    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224755 0.143918   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.155136 -0.144223    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.155243  0.143777    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225013 -0.144086    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224909 0.143914   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.154985 -0.144223    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.155089  0.143777    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225158 -0.144089    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.225055 0.143911   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, -0.15484 -0.144224    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.154943  0.143776    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225298 -0.144116    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.225195 0.143884   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,  -0.1547 -0.144252    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.154803  0.143748    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225373 -0.144113    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.225265 0.143887   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.154625 -0.144255    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.154733  0.143745    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225421 -0.144099    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.225307 0.143901   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.154577 -0.144251    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.154691  0.143749    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225447 -0.144095    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.225324 0.143905   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.154551 -0.144258    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.154674  0.143742    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225454 -0.144091    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.225321 0.143909   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.154544 -0.144266    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.154677  0.143734    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225443 -0.144085    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.225298 0.143915   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.154555 -0.144275    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0, -0.1547 0.143725   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225377 -0.144086    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0, 0.22522 0.143914   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, -0.15462 -0.144293    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.154777  0.143707    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225261 -0.144097    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.225093 0.143903   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.154736 -0.144319    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.154905  0.143681    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.225134 -0.144109    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224955 0.143891   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.154863 -0.144346    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.155043  0.143654    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.224997 -0.144123    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224808 0.143877   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,   -0.155 -0.144373    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.15519 0.143627   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.224851 -0.144137    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224652 0.143862   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.155147   -0.1444    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.155346    0.1436    -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0, 0.224696 -0.144153    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224488 0.143847   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,-0.155302 -0.144427    -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,-0.15551 0.143573   -0.003,0 0 0
16,0.15,0.09,5,-0.389,     0 -0.095      0,0.224533 -0.14417   -0.003,0 0 0
16,0.15,0.09,5,-0.389,    0 0.095     0,0.224317  0.14383   -0.003,0 0 0
