0,0 0 0,1 1 0,0 0 0,0 0 1
0.002,0 0 0,1 1 0,0 0 0,0 0 1
0.003,0 0 0,1 1 0,0 0 0,0 0 1
0.004,0 0 0,1 1 0,0 0 0,0 0 1
0.005,0 0 0,1 1 0,0 0 0,0 0 1
0.006,0 0 0,1 1 0,0 0 0,0 0 1
0.006,0 0 0,1 1 0,0 0 0,0 0 1
0.016,0 0 0,1 1 0,0 0 0,0 0 1
0.017,0 0 0,1 1 0,0 0 0,0 0 1
0.018,0 0 0,1 1 0,0 0 0,0 0 1
0.019,0 0 0,1 1 0,0 0 0,0 0 1
0.02,0 0 0,1 1 0,0 0 0,0 0 1
0.021,0 0 0,1 1 0,0 0 0,0 0 1
0.024, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.025, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.033, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.034, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.035, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.036, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.037, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.037, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.038, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.039, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.049, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.05, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.051, 1.75331  1.71937 -63.7391,-0  0  0,-0  0  0, 1.32693  1.05896 -68.5763
0.054,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.056,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.056,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.057,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.058,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.066,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.067,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.068,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.069,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.07,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.071,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.072,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.073,0.479033  1.48056 -56.5497,-0  0  0,-0  0  0,0.345133  1.27709 -60.6865
0.083,-0.0927073    1.49503   -49.2991,0 0 0,0 0 0,0.0565293   1.73224  -53.4223
0.09,-0.0927073    1.49503   -49.2991,0 0 0,0 0 0,0.0565293   1.73224  -53.4223
0.091,-0.0927073    1.49503   -49.2991,0 0 0,0 0 0,0.0565293   1.73224  -53.4223
0.092,-0.0927073    1.49503   -49.2991,0 0 0,0 0 0,0.0565293   1.73224  -53.4223
0.093,-0.0927073    1.49503   -49.2991,0 0 0,0 0 0,0.0565293   1.73224  -53.4223
0.094,-0.0927073    1.49503   -49.2991,0 0 0,0 0 0,0.0565293   1.73224  -53.4223
0.095,-0.0927073    1.49503   -49.2991,0 0 0,0 0 0,0.0565293   1.73224  -53.4223
0.095,-0.0927073    1.49503   -49.2991,0 0 0,0 0 0,0.0565293   1.73224  -53.4223
